FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
1071.0,Jackson,Alabama,US,2021-01-02 05:22:33,34.78144169,-85.99750489,5183,34,0,5149,"Jackson, Alabama, US",10039.514973075582,0.6559907389542736
1089.0,Madison,Alabama,US,2021-01-02 05:22:33,34.76327133,-86.55069633,22590,179,0,22411,"Madison, Alabama, US",6057.778171081953,0.7923860115095175
1101.0,Montgomery,Alabama,US,2021-01-02 05:22:33,32.2206831,-86.20969272,16240,276,0,15964,"Montgomery, Alabama, US",7170.421129782856,1.6995073891625616
2110.0,Juneau,Alaska,US,2021-01-02 05:22:33,58.45031811,-134.200436,1050,5,0,1045,"Juneau, Alaska, US",3283.9181835241134,0.4761904761904761
5027.0,Columbia,Arkansas,US,2021-01-02 05:22:33,33.21230701,-93.22642793,1591,43,0,1548,"Columbia, Arkansas, US",6782.623523894787,2.702702702702702
5067.0,Jackson,Arkansas,US,2021-01-02 05:22:33,35.59802983,-91.21494602,2831,22,0,2809,"Jackson, Arkansas, US",16932.83091093965,0.7771105616389968
5079.0,Lincoln,Arkansas,US,2021-01-02 05:22:33,33.95317155,-91.74002806,2828,24,0,2804,"Lincoln, Arkansas, US",21713.759213759215,0.8486562942008486
5087.0,Madison,Arkansas,US,2021-01-02 05:22:33,36.01038185,-93.72524943,1048,12,0,1036,"Madison, Arkansas, US",6322.393822393822,1.1450381679389312
5097.0,Montgomery,Arkansas,US,2021-01-02 05:22:33,34.53704874,-93.65824478,508,18,0,490,"Montgomery, Arkansas, US",5653.238370799021,3.543307086614173
6067.0,Sacramento,California,US,2021-01-02 05:22:33,38.45106826,-121.3425374,67632,848,0,66810,"Sacramento, California, US",4359.244306591635,1.2533624996304946
8017.0,Cheyenne,Colorado,US,2021-01-02 05:22:33,38.82777431,-102.6032558,100,6,0,84,"Cheyenne, Colorado, US",4860.731840524304,5.617977528089888
8031.0,Denver,Colorado,US,2021-01-02 05:22:33,39.76018276,-104.8725695,51643,726,0,47354,"Denver, Colorado, US",6603.72299098886,1.3930824813110383
8057.0,Jackson,Colorado,US,2021-01-02 05:22:33,40.66593870000001,-106.3408905,41,0,0,33,"Jackson, Colorado, US",2370.689655172414,0.0
8073.0,Lincoln,Colorado,US,2021-01-02 05:22:33,38.98749519,-103.5136649,805,3,0,780,"Lincoln, Colorado, US",13734.432555691985,0.3831417624521073
9003.0,Hartford,Connecticut,US,2021-01-02 05:22:33,41.80283011,-72.73103891,46680,1852,0,44828,"Hartford, Connecticut, US",5234.827075763693,3.967437874892888
12023.0,Columbia,Florida,US,2021-01-02 05:22:33,30.22509788,-82.62160164,6007,117,0,5890,"Columbia, Florida, US",8379.59992188154,1.9477276510737471
12063.0,Jackson,Florida,US,2021-01-02 05:22:33,30.7954597,-85.21500423,4649,118,0,4531,"Jackson, Florida, US",10016.374369802215,2.538180253818026
12079.0,Madison,Florida,US,2021-01-02 05:22:33,30.44396917,-83.47398594,1540,33,0,1507,"Madison, Florida, US",8327.475260909534,2.142857142857143
13073.0,Columbia,Georgia,US,2021-01-02 05:22:33,33.54534185,-82.263524,10236,100,0,10136,"Columbia, Georgia, US",6531.643631073165,0.9769441187964047
13157.0,Jackson,Georgia,US,2021-01-02 05:22:33,34.13794553,-83.56814788,5735,73,0,5662,"Jackson, Georgia, US",7858.640393548652,1.2728857890148213
13181.0,Lincoln,Georgia,US,2021-01-02 05:22:33,33.79201475,-82.45024131,439,11,0,428,"Lincoln, Georgia, US",5542.229516475192,2.5056947608200457
13195.0,Madison,Georgia,US,2021-01-02 05:22:33,34.12920917,-83.21218732,1878,24,0,1854,"Madison, Georgia, US",6285.140562248996,1.2779552715654952
13209.0,Montgomery,Georgia,US,2021-01-02 05:22:33,32.17201038,-82.53527476,626,10,0,616,"Montgomery, Georgia, US",6825.119930222416,1.597444089456869
13245.0,Richmond,Georgia,US,2021-01-02 05:22:33,33.35777107,-82.07026432,15042,253,0,14789,"Richmond, Georgia, US",7427.4879269990815,1.6819571865443426
15003.0,Honolulu,Hawaii,US,2021-01-02 05:22:33,21.45803166,-157.97121819999995,18235,224,0,18011,"Honolulu, Hawaii, US",1871.095044650782,1.2284069097888677
16015.0,Boise,Idaho,US,2021-01-02 05:22:33,43.98829931,-115.7309284,240,2,0,238,"Boise, Idaho, US",3064.74268931171,0.8333333333333334
